InvoiceNo,CustomerID,InvoiceDate,Quantity,Price,Revenue
10001,101,01-01-2023,2,100,200
10002,102,02-01-2023,1,500,500
10003,101,10-02-2023,3,150,450
10004,103,15-02-2023,5,50,250
10005,104,01-03-2023,1,1000,1000
10006,102,10-03-2023,2,400,800
10007,105,05-04-2023,1,200,200
10008,101,20-04-2023,4,120,480
10009,106,01-05-2023,2,300,600
10010,107,10-05-2023,1,150,150
10011,108,15-05-2023,6,80,480
10012,103,01-06-2023,3,60,180
10013,104,10-06-2023,2,900,1800
10014,105,01-07-2023,1,250,250
10015,109,15-07-2023,2,500,1000
10016,110,01-08-2023,1,700,700
10017,101,20-08-2023,2,130,260
10018,102,01-09-2023,3,300,900
10019,111,10-09-2023,1,400,400
10020,112,15-09-2023,4,200,800
10001,120,31-12-2025,4,10,10
